begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifTxDropPacketsIPv4_rate_AF3,ifTxPacketsIPv4_AF2,ifTxDropPacketsIPv4_rate_AF4,ifTxOctetsIPv4_AF3,ifTxPacketsIPv4_EF2,ifTxDropOctetsIPv4_rate_EF1,ifTxDropPacketsIPv4_rate_EF3,ifTxOctetsIPv4_AF1,ifTxDropOctetsIPv4_rate_AF4,ifTxDropOctetsIPv4_rate_AF1,ifTxPacketsIPv4_AF1,ifTxDropOctetsIPv4_rate_EF3,ifTxPacketsIPv4_BE,ifTxDropPacketsIPv4_rate_AF1,ifTxDropPacketsIPv4_rate_BE,ifTxOctetsIPv4_EF2,ifTxOctetsIPv4_EF3,ifTxPacketsIPv4_AF4,ifTxOctetsIPv4_BE,ifTxPacketsIPv4_EF1,ifTxOctetsIPv4_AF4,ifTxDropOctetsIPv4_rate_AF3,ifTxPacketsIPv4_AF3,ifTxDropPacketsIPv4_rate_EF2,ifTxDropOctetsIPv4_rate_BE,ifTxOctetsIPv4_EF1,ifTxDropPacketsIPv4_rate_AF2,ifTxDropPacketsIPv4_rate_EF1,ifTxDropOctetsIPv4_rate_EF2,ifTxPacketsIPv4_EF3,ifTxOctetsIPv4_AF2,ifTxDropOctetsIPv4_rate_AF2,ifTxPackets_EF3,ifTxDropOctets_delta_AF1,ifTxDropOctets_rate_BE,ifTxDropPackets_delta_EF1,ifTxOctets_AF1,ifTxDropPackets_delta_AF3,ifTxDropOctets_rate_AF3,ifTxDropPackets_delta_AF4,ifTxDropOctets_rate_EF3,ifTxDropPackets_rate_AF4,ifTxDropOctets_delta_EF2,ifTxDropPackets_delta_AF2,ifTxDropPackets_rate_AF1,ifTxOctets_EF1,ifTxDropPackets_rate_EF2,ifTxOctets_AF4,ifTxDropPackets_rate_BE,ifTxDropPackets_delta_EF2,ifTxDropOctets_rate_AF2,ifTxOctets_AF3,ifTxDropPackets_rate_EF1,ifTxDropOctets_delta_EF3,ifTxDropPackets_delta_EF3,ifTxDropOctets_delta_AF3,ifTxPackets_AF4,ifTxPackets_BE,ifTxDropPackets_rate_AF3,ifTxOctets_EF2,ifTxPackets_EF2,ifTxPackets_AF2,ifTxDropOctets_rate_AF4,ifTxDropOctets_delta_EF1,ifTxDropOctets_delta_AF4,ifTxPackets_AF1,ifTxDropPackets_rate_AF2,ifTxOctets_EF3,ifTxDropOctets_rate_EF1,ifTxPackets_EF1,ifTxDropPackets_delta_AF1,ifTxOctets_BE,ifTxOctets_AF2,ifTxDropPackets_rate_EF3,ifTxDropOctets_delta_AF2,ifTxDropOctets_rate_AF1,ifTxDropPackets_delta_BE,ifTxPackets_AF3,ifTxDropOctets_rate_EF2,ifTxDropOctets_delta_BE,ipRmDroppedPacketsRateLimiting,ipRmDropPcktsRtLimSrLteMplane,ipRmDropPcktsRtLimLteUplane,ipRmDropPcktsRtLimDefault,ipRmDropPcktsRtLimTwamp,ipRmDroppedPacketsFiltering,ipRmDropPcktsRtLimSplane,ipRmDropPcktsRtLimCplane,sctpOutPackets,sctpInPackets,sctpInOctets,sctpOutOctets,tcpOutOctets,tcpInPackets,tcpOutPackets,tcpInOctets,ipReassemblyError,discIpReassemblyTimedoutPkts,ipTooBigPackets,ipDataTrafficVolumePckDisc,ipDataTrafficVolumePackets,ipDataTrafficVolumeDiscards,ipDataTrafficVolume,ipv4InErrors,ipv4OutPackets,ipv4InOctets,ipv4InReassembledPackets,ipv4OutOctets,ipv4InPackets,ifInErrors,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInOctets,ifOutFragPackets,ifInPackets,ifOutMCastPackets,ifInDiscardedMCastOctets,ifOutFragments,ifOutPackets,ifOutOctets,ifInMCastOctets,ifOutDroppedOctets,ifInMCastPackets,ifOutDroppedPackets
2022-03-16,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15771.0,dynamic,90.97222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15773.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15770.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15770.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15771.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15773.0,dynamic,97.15277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15773.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15771.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,91.04166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,90.97222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15773.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15770.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15770.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15772.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15771.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15771.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15769.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPVOL-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPVOL,15587.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21401939.0,114470230.0,28657334644.0,146826260871.0,,,,,,,,,,,,,,,,,,,,,
2022-03-18,"MRBTS-5086,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15490.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,66763.0,819309028.0,0.0,8954023.0,0.0,5194300.0,0.0,4941113.0,356214580.0,5194300.0,0.0,66763.0,0.0
2022-03-16,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO,22.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1757919.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
